,,Trait,TRAIT2,,,A,C,E,N,O
Respectful,,,,,respectf,0.37,0.34,-0.03,-0.05,0.29
Responsible,,C,,,responsi,0.22,0.52,0.01,0.02,0
Responsive,,C,,,responsv,0.21,0.17,-0.27,-0.15,-0.24
Restless,,,,,restless,-0.16,-0.23,-0.09,-0.21,-0.13
Restrainable,,,,,restrain,0.06,0.29,0.39,-0.02,0.23
Restrained,,E,,,restrnbl,0.17,0.22,0.13,-0.03,0.26
Retaliative,,,,,retaliat,-0.44,-0.04,0.02,-0.03,-0.07
Retiring,,A,,,retiring,0.02,0.07,0.44,-0.03,0.21
Retortive,,E,,,retortiv,-0.27,-0.05,-0.09,0,-0.23
Revengeful,,,,,revengef,-0.49,-0.13,0.1,-0.03,-0.05
Reverent,,A,,,reverent,0.09,0.26,-0.14,-0.18,0.16
Rigid,,,,,rigid,-0.31,0.28,0.12,-0.04,0.24
Rigorous,,A,,,rigorous,-0.13,0.23,-0.14,0.25,-0.01
Risque,,,,,risque,-0.18,-0.18,-0.12,0.16,-0.09
Ritualistic,,,,,ritualis,-0.06,0.16,-0.06,-0.21,0.11
Rivalrous,,,,,rivalrou,-0.3,0.02,-0.1,0,0.01
Roguish,,A,,,roguish,-0.26,-0.21,-0.2,0.09,-0.16
Rollicking,,,,,rollicki,-0.07,-0.2,-0.49,0.12,0.12
Rootless,,E,,,rootless,-0.12,-0.21,0.07,0.1,-0.08
Rough,,,,,rough,-0.39,-0.1,-0.06,0.36,0.05
Rowdy,,A,,,rowdy,-0.38,-0.16,-0.36,0.14,-0.02
Rude,,A,E,,rude,-0.44,-0.32,-0.08,0.08,-0.1
Rugged,,A,C,,rugged,-0.2,-0.1,-0.06,0.41,-0.02
Ruthless,,N,,,ruthless,-0.49,-0.16,0.03,0.21,-0.05
Saccharine,,A,,,sacchari,-0.04,0.19,-0.14,-0.09,0.33
Sadistic,,O,,,sadistic,-0.37,-0.14,0.06,0.06,0.08
Saintly,,A,,,saintly,0.02,0.17,-0.14,0,0.16
Sarcastic,,,,,sarcasti,-0.34,-0.01,-0.04,-0.02,-0.11
Sassy,,A,,,sassy,-0.27,-0.11,-0.21,-0.1,-0.19
Satiric,,,,,satiric,-0.35,-0.04,0.03,0.04,-0.24
Saucy,,A,,,saucy,-0.14,-0.05,-0.28,-0.08,-0.26
Scampish,,,,,scampish,-0.16,-0.17,-0.29,-0.05,-0.06
Scandalmongering,,,,,scandalm,-0.25,0.05,-0.14,-0.13,0.17
Scatterbrained,,,,,scatterb,0.05,-0.33,-0.17,-0.33,0.15
Scheming,,C,,,scheming,-0.38,-0.03,-0.07,-0.1,0.08
Scholarly,,,,,scholarl,-0.03,0.33,0,0.03,-0.24
Scornful,,C,,,scornful,-0.31,0.06,0.13,-0.14,-0.15
Scrappy,,A,,,scrappy,-0.24,-0.07,0.03,0.1,0.02
Scrupulous,,,,,scrupulo,0.13,0.09,0.12,-0.04,-0.13
Seclusive,,,,,seclusiv,-0.08,0.04,0.48,-0.14,-0.01
Secretive,,E,,,secretiv,-0.15,0.03,0.2,-0.08,-0.03
Sedate,,E,,,sedate,0.08,0.28,0.38,-0.02,0.22
Selfish,,,,,selfish,-0.16,-0.28,0.1,-0.21,-0.07
Selfless,,A,,,selfless,0.33,-0.04,0.04,0.01,-0.05
Sensitive,,N,,,sensitiv,0.22,0.1,-0.03,-0.5,-0.21
Sensual,,,,,sensual,-0.09,-0.06,-0.12,0,-0.11
Sensuous,,,,,sensuous,0.01,-0.02,-0.17,0.04,-0.13
Sentimental,,N,,,sentimen,0.23,0.18,-0.22,-0.4,0.08
Serene,,A,C,,serene,0.33,0.32,0.06,0.15,0.07
Serious,,C,,,serious,0.06,0.36,0.24,-0.12,-0.06
Serious-minded,,C,,,serious_,0.08,0.37,0.27,-0.09,-0.09
Servile,,O,,,servile,-0.1,0.01,0.02,-0.2,0.33
Severe,,A,,,severe,-0.39,0.16,0.1,0.03,-0.11
Sexy,,,,,sexy,-0.06,0.14,-0.23,0.14,-0.03
Shallow,,O,,,shallow,-0.06,0,0.03,-0.08,0.4
Sharp-tongued,,A,O,,sharp_to,-0.43,0.05,-0.07,-0.11,-0.33
Sharp-witted,,O,,,sharp_wi,-0.17,0.12,-0.16,0.14,-0.38
Shiftless,,,,,shiftles,-0.11,-0.08,0.05,0.11,0.19
Shortsighted,,,,,short_sp,-0.05,-0.05,0.41,-0.01,0
Short-spoken,,E,,,short_te,-0.35,0.08,-0.04,-0.22,-0.21
Short-tempered,,A,,,shortsig,0.03,-0.17,0.07,-0.26,0.21
Showy,,E,A,,showy,-0.31,-0.08,-0.42,-0.04,-0.01
Shrewd,,,,,shrewd,-0.26,0.1,0.02,0.22,-0.27
Shrewish,,A,,,shrewish,-0.31,0.05,-0.04,-0.12,-0.11
Shrinking,,N,,,shrinkin,-0.02,-0.11,0.25,-0.33,0.17
Shy,,E,,,shy,0.09,0.09,0.52,-0.15,0.13
Silent,,E,,,silent,0.12,0.13,0.53,0.01,0.19
Simple,,,,,simple,0.19,-0.01,0.01,-0.03,0.25
Sincere,,A,,,sincere,0.36,0.25,-0.03,-0.07,-0.05
Single-minded,,,,,single_m,-0.08,0.09,0.15,0.06,-0.01
Skeptical,,E,,,skeptica,-0.2,0.07,0.32,0.04,-0.24
Slanderous,,A,,,slandero,-0.45,-0.04,0.02,-0.02,0.02
Self-assertive,,E,,,self_ast,-0.2,0.15,-0.4,0.21,-0.19
Self-assured,,N,E,,self_asu,-0.01,0.23,-0.37,0.39,-0.12
Self-centered,,,,,self_cen,-0.28,-0.11,-0.03,-0.09,0
Self-confident,,N,E,,self_cof,0.06,0.26,-0.33,0.43,-0.1
Self-conscious,,,,,self_con,-0.05,0.12,0.23,-0.18,0.17
Self-consistent,,C,N,,self_cos,0.16,0.44,0.07,0.32,0.04
Self-controlled,,C,,,self_cot,0.28,0.39,0.12,0.25,0.12
Self-critical,,,,,self_cri,0.09,-0.02,0.05,-0.26,-0.01
Self-deceiving,,N,,,self_dec,-0.13,-0.18,0.05,-0.35,0.15
Self-defeating,,N,,,self_def,-0.09,0.06,-0.01,-0.14,-0.03
Self-defensive,,,,,self_del,-0.19,-0.09,0.07,-0.4,0.21
Self-deluding,,N,,,self_den,0.06,0.2,0.04,-0.11,0.01
Self-denying,,,,,self_dep,-0.09,-0.16,0.17,-0.34,0.16
Self-deprecating,,N,,,self_des,-0.17,-0.15,0.17,-0.38,0.07
Self-destructive,,N,,,self_dft,-0.16,-0.13,0.13,-0.41,0.14
Self-disciplined,,C,,,self_dis,0.15,0.44,0.03,0.2,0.01
Self-disparaging,,N,,,self_dou,0.03,-0.2,0.24,-0.46,0.13
Self-doubting,,,,,self_dsp,-0.08,-0.11,0.21,-0.32,0.12
Self-effacing,,,,,self_eff,-0.01,-0.04,0.22,-0.22,0.29
Self-examining,,,,,self_exa,0.12,0.01,0.14,-0.13,-0.11
Self-excusing,,,,,self_exc,-0.19,-0.05,0.01,-0.22,0.12
Self-expressive,,,,,self_exp,0.09,0.07,-0.35,0.12,-0.29
Self-important,,,,,self_imp,-0.19,0.08,-0.21,0.14,0.04
Self-indulgent,,,,,self_ind,-0.26,-0.13,-0.14,-0.13,0.05
Self-pitying,,N,,,self_pit,-0.17,-0.13,0.14,-0.5,0.04
Self-possessed,,,,,self_pos,0.03,0,0.06,0,-0.1
Self-punishing,,N,,,self_pun,-0.13,-0.05,0.12,-0.31,0.03
Self-reliant,,,,,self_rel,0.13,0.24,-0.06,0.25,-0.16
Self-reproachful,,N,,,self_rep,0.04,-0.06,0.11,-0.31,-0.08
Self-respecting,,,,,self_rev,-0.05,-0.02,-0.32,-0.13,-0.02
Self-restrained,,,,,self_rig,-0.2,0.23,-0.2,-0.02,0.19
Self-revealing,,C,,,self_rsp,0.17,0.32,-0.13,0.12,-0.05
Self-righteous,,C,,,self_rst,0.24,0.35,0.25,0.11,0.15
Self-sacrificing,,C,,,self_sac,0.05,0.32,-0.14,-0.08,0.06
Self-satisfied,,N,,,self_sat,-0.01,0.27,-0.25,0.37,0.22
Self-seeking,,,,,self_see,-0.14,-0.02,-0.05,-0.02,0.06
Self-sufficient,,,,,self_suf,0.04,0.18,-0.06,0.29,-0.09
Self-willed,,,,,self_wil,-0.18,0.18,-0.08,0.2,-0.2
Slick,,,,,slick,-0.25,0.25,-0.21,0.06,0.17
Sloppy,,C,,,sloppy,0.02,-0.42,0.04,0.03,0.01
Slothful,,,,,slothful,-0.14,-0.22,0.16,-0.03,0.05
Slovenly,,,,,slovenly,-0.2,-0.27,0.16,0,0.13
Slow,,,,,slow,0.13,-0.19,0.24,-0.16,0.28
Slow-witted,,O,,,slow_wit,0.18,-0.09,0.11,-0.21,0.33
Sluggish,,,,,sluggish,-0.01,-0.2,0.24,-0.29,0.15
Sly,,A,,,sly,-0.39,0.08,-0.06,0.21,0.03
Smart,,,,,smart,0.03,0.24,-0.02,0.13,-0.27
Smooth-spoken,,,,,smooth_s,0.01,0.24,-0.21,0.2,-0.16
Smug,,,,,smug,-0.23,0.11,-0.12,-0.12,0
Sneaky,,A,,,sneaky,-0.42,-0.09,-0.1,0.05,0.1
Snobbish,,,,,snobbish,-0.19,0.03,0.02,-0.24,0.02
Snoopy,,,,,snoopy,-0.22,-0.07,-0.22,-0.11,0.03
Snooty,,,,,snooty,-0.18,0.13,0,-0.16,0.04
Sober-minded,,C,,,sober_mi,0.03,0.37,0.35,0.03,0.06
Sociable,,E,,,sociable,0.22,0.17,-0.43,-0.01,0.05
Social,,E,,,social,0.1,0.23,-0.43,0.04,0.13
Soft-hearted,,A,,,soft_hea,0.35,0.06,-0.16,-0.28,0.06
Soft-shelled,,N,,,soft_she,0.21,-0.04,-0.04,-0.43,0.19
Soft-spoken,,E,A,,soft_spo,0.32,0.15,0.39,-0.02,0.07
Solemn,,E,,,solemn,0.01,0.26,0.35,-0.05,0
Solicitous,,,,,solicito,0.07,0.02,-0.02,-0.13,-0.03
Somber,,E,,,somber,-0.13,0.2,0.36,-0.05,-0.02
Sophisticated,,C,,,sophisti,0.04,0.42,-0.05,0.14,0
Sour,,E,,,sour,-0.36,-0.06,0.3,-0.07,-0.02
Sparkling,,E,,,sparklin,0.06,0.06,-0.55,-0.01,0.02
Speedy,,E,,,speedy,-0.1,0.27,-0.3,0.16,-0.1
Spineless,,,,,spineles,0,-0.07,0.16,-0.29,0.14
Spirited,,E,,,spirited,0.09,0.09,-0.5,0.02,-0.17
Spiritless,,,,,spiritle,0.04,-0.17,0.26,0.07,0.23
Spiritual,,,,,spiritua,0.16,0.18,-0.14,-0.18,-0.1
Spiteful,,A,,,spiteful,-0.53,-0.05,0.05,-0.16,-0.08
Spontaneous,,E,,,spontane,0.1,-0.04,-0.38,0.06,-0.28
Sportsmanlike,,N,,,sportsma,0.13,0.18,-0.15,0.31,0.06
Sprightly,,E,,,sprightl,0.15,0.11,-0.38,0.14,-0.08
Spry,,,,,spry,0.21,0.13,-0.25,0.25,-0.07
Spunky,,E,,,spunky,0.12,0.08,-0.4,0.12,-0.14
Squeamish,,N,,,squemish,0.08,-0.09,-0.08,-0.36,-0.03
Stable,,C,,,stable,0.24,0.49,-0.01,0.31,0.04
Stalwart,,C,,,stalwart,-0.04,0.33,-0.03,0.26,-0.12
Stand-offish,,E,,,stand_of,-0.06,0.02,0.49,-0.11,-0.02
Statesmanlike,,,,,statesma,-0.07,0.21,-0.08,0.15,-0.1
Steadfast,,,,,steadfas,0.16,0.29,0.07,0.15,-0.08
Steady,,C,,,steady,0.21,0.38,0.08,0.25,0.01
Stern,,C,,,stern,-0.38,0.4,0.07,0.01,0.06
Stingy,,,,,stingy,-0.15,0.02,0.13,-0.07,0.04
Stormy,,,,,stormy,-0.34,-0.14,0.02,-0.19,-0.25
Stout-hearted,,,,,stout_he,-0.04,0.07,-0.08,0.24,-0.21
Straightforward,,,,,straight,0.08,0.1,-0.11,0.24,-0.22
Straitlaced,,C,,,strait_l,-0.02,0.32,0.11,-0.11,0.21
Strict,,C,,,strict,-0.15,0.42,0.01,-0.01,-0.01
Stringent,,C,,,stringen,-0.27,0.41,0.05,0.02,0.01
Strong-minded,,O,,,strong_m,-0.06,0.28,-0.16,0.18,-0.35
Stubborn,,,,,stubborn,-0.22,0.05,-0.08,-0.04,-0.15
Stuck-up,,,,,stuck_up,-0.26,-0.01,0.02,-0.13,0.01
Studious,,C,,,studious,0.16,0.44,0.03,-0.05,-0.18
Stuffy,,,,,stuffy,-0.18,0.08,0.17,-0.17,0.08
Suave,,C,,,suave,-0.13,0.3,-0.2,0.22,0.08
Subjective,,,,,subjecti,-0.02,0.03,-0.06,-0.17,-0.04
Submissive,,O,,,submissi,0.2,0.03,0.08,-0.28,0.38
Sugary,,O,,,sugary,-0.04,0.21,-0.26,-0.12,0.35
Suggestible,,,,,suggesti,-0.05,-0.03,-0.06,-0.11,0.11
Sulky,,N,A,,sulky,-0.33,-0.08,0.24,-0.4,-0.05
Sullen,,E,,,sullen,-0.28,-0.01,0.35,-0.21,0.1
Sultry,,,,,sultry,-0.16,-0.03,0.08,-0.2,-0.11
Sunny,,E,,,sunny,0.24,0.03,-0.51,-0.02,0.11
Superficial,,,,,superfic,-0.15,-0.03,-0.01,-0.18,0.26
Supersensitive,,N,,,supersen,-0.04,0.04,0.05,-0.52,-0.09
Superstitious,,,,,supersti,-0.03,0.09,-0.16,-0.11,0.16
Surly,,A,,,surly,-0.41,0.13,0.05,0.05,0.08
Suspicious,,A,,,suspicio,-0.39,0.05,0.16,-0.06,0.01
Swellheaded,,,,,swellhea,-0.24,-0.05,-0.13,-0.1,0.09
Sympathetic,,A,,,sympathe,0.45,0.11,-0.11,-0.2,-0.01
Systematic,,C,,,systemat,0.04,0.46,0.14,0.06,-0.04
Taciturn,,,,,tactful,0.28,0.31,0.09,0.17,0
Tactful,,C,,,tactless,-0.14,-0.3,-0.1,-0.07,0.06
Tactless,,C,,,talkativ,-0.1,-0.02,-0.6,-0.11,-0.06
Talkative,,E,,,tame,0.26,0.23,0.11,-0.11,0.47
Tame,,O,,,tasteful,0.14,0.23,0,0.08,-0.02
Tasteful,,,,,tasteles,-0.05,-0.14,0.13,0.06,0.13
Tasteless,,,,,teachabl,0.2,0.16,0.03,0.07,0.06
Teachable,,,,,temperam,-0.33,0.02,-0.02,-0.39,-0.25
Temperamental,,N,,,temperat,0.22,0.11,0.16,0.01,0.07
Temperate,,,,,tempestu,-0.3,-0.07,-0.2,-0.14,-0.29
Tempestuous,,A,,,temptabl,-0.11,-0.23,-0.09,-0.22,0.02
Temptable,,,,,tenaciou,-0.04,0.21,-0.08,0.04,-0.25
Tenacious,,,,,tender,0.4,0.14,-0.17,-0.32,-0.18
Tender,,A,N,,tender_h,0.47,0.16,-0.21,-0.34,0
Tender-hearted,,A,N,,tendermi,0.31,0.06,-0.15,-0.26,0.18
Tenderminded,,A,,,tense,-0.19,0.11,0.21,-0.48,-0.1
Tense,,N,,,tentativ,-0.03,-0.11,0.1,-0.22,0.14
Tentative,,,,,terse,-0.12,0.25,0.11,0.08,-0.01
Terse,,,,,testy,-0.36,0.09,0,-0.03,-0.05
Testy,,A,,,thick_he,-0.08,-0.22,0.01,-0.13,0.12
Thick-headed,,,,,thick_sk,-0.15,-0.09,0.06,0.45,0.01
Thick-skinned,,N,,,thick_wi,-0.06,0.03,0.04,-0.09,0.19
Thick-witted,,,,,thin_ski,0.18,-0.06,0.04,-0.37,-0.01
Thin-skinned,,N,,,thorougg,-0.08,0.53,-0.04,0.11,-0.17
Thorough,,C,,,thorough,-0.02,0.57,0,0.08,-0.23
Thoroughgoing,,C,,,thoughtf,0.38,0.26,0,-0.08,0.01
Thoughtful,,A,,,thoughtl,0,-0.25,0.01,-0.04,-0.06
Thoughtless,,,,,thriftle,-0.04,-0.19,-0.02,-0.09,0.05
Thriftless,,,,,thrifty,0.08,0.24,0.02,0.06,-0.02
Thrifty,,,,,tidy,0.15,0.48,0.03,-0.08,0.08
Tidy,,C,,,tight,-0.16,0.17,0.12,0,0.04
Tight,,,,,tight_li,0.05,0.18,0.3,0.12,0.1
Tight-lipped,,E,,,timid,0.2,0.05,0.44,-0.35,0.15
Timid,,E,,,timorous,0.03,0.09,0.2,-0.3,0.21
Timorous,,N,,,tireless,0.01,0.09,-0.08,0.35,-0.11
Tireless,,N,,,tolerant,0.51,-0.02,0.17,0.21,0.02
Tolerant,,,,,touchy,-0.2,0,0.07,-0.46,-0.02
Touchy,,N,,,tough,-0.28,0.1,-0.06,0.46,-0.05
Tough,,N,,,tough_mi,-0.29,0.07,0.04,0.4,-0.11
Tough-minded,,N,,,traditio,0.07,0.25,0.02,-0.07,0.37
Traditional,,O,,,transpar,0.17,-0.02,-0.1,-0.18,0.14
Transparent,,,,,treacher,-0.38,0.01,-0.05,0.02,0.01
Treacherous,,A,,,tricky,-0.43,-0.02,-0.07,0.18,0.13
Tricky,,A,,,trustful,0.32,0.2,-0.07,0.03,0.24
Trustful,,A,,,trustwor,0.3,0.33,0.12,0.19,0.03
Trustworthy,,C,A,,truthful,0.29,0.25,0.06,0.16,-0.04
Truthful,,,,,truthles,-0.13,-0.15,-0.02,-0.04,0.12
Truthless,,,,,twitchy,-0.08,-0.04,-0.03,-0.14,-0.08
Twitchy,,,,,tyrannic,-0.43,0.11,-0.04,-0.09,-0.07
Tyrannical,,A,,,ultracon,0.03,0.31,0.03,-0.09,0.21
Ultraconservative,,C,,,ultracri,-0.32,0.06,0.2,-0.12,-0.13
Ultracritical,,A,,,ultradem,0,0.16,0.08,0.04,-0.12
Ultrademocratic,,,,,ultrafas,-0.09,0.32,0.08,0.05,-0.13
Ultrafastidious,,C,,,ultraint,-0.09,0.24,0.04,0.03,-0.29
Ultraintellectual,,,,,ultraref,-0.04,0.39,-0.03,0,-0.04
Ultrarefined,,C,,,ultrarel,0.04,0.34,-0.09,-0.11,0.09
Ultrareligious,,C,,,ultrasen,-0.14,0.02,-0.05,-0.02,-0.13
Ultrasensual,,,,,ultrasnt,0.03,0.13,-0.15,-0.4,0.08
Ultrasentimental,,N,,,ultraspi,0.1,0.19,-0.07,-0.18,-0.13
Ultraspiritual,,,,,unaccess,-0.02,0.01,0.22,0.03,0.01
Unaccessible,,,,,unaccomm,-0.11,-0.01,0.1,0.09,-0.01
Unaccommodating,,C,,,unaccomp,0.1,-0.35,0.24,-0.17,0.05
Unaccomplished,,,,,unadapta,-0.14,-0.01,0.1,-0.1,0.06
Unadaptable,,,,,unadulte,0.28,0.11,0,-0.06,0.03
Unadulterous,,,,,unadvent,0.2,0.03,0.34,-0.3,0.11
Unadventurous,,E,,,unaffabl,-0.06,0.04,0.08,0.12,0.1
Unaffable,,,,,unaffctn,-0.02,-0.16,0.27,0.21,0.08
Unaffected,,,,,unaffect,0.27,-0.06,0.12,0.07,-0.23
Unaffectionate,,,,,unagreea,-0.23,-0.05,0.12,0,-0.03
Unaggressive,,A,E,,unagress,0.37,-0.03,0.34,-0.09,0.15
Unagreeable,,,,,unaiding,-0.09,-0.18,0.23,0.24,0.03
Unaiding,,,,,unalert,0.1,-0.25,0.17,-0.17,0.26
Unalert,,,,,unaltera,-0.05,0,0.04,0.24,0.02
Unalterable,,,,,unambiti,0.19,-0.37,0.24,0,0.07
Unambitious,,C,,,unamiabl,-0.03,-0.02,0.31,0.12,-0.08
Unamiable,,E,,,unamusab,0.04,0.08,0.21,0.08,0
Unamusable,,,,,unanalyt,0.24,-0.23,-0.04,-0.02,0.29
Unanalytic,,,,,unanchor,0.03,-0.31,0.03,0.15,-0.02
Unanchored,,,,,unanimat,-0.06,-0.01,0.32,0.15,0.25
Unanimated,,E,,,unapproa,-0.09,0.02,0.37,0.04,-0.1
Unapproachable,,E,,,unargume,0.42,0.01,0.12,0.05,0.29
Unargumentative,,A,,,unartist,0.07,-0.11,0.04,0.11,0.22
Unartistic,,,,,unaspiri,0.09,-0.25,0.13,-0.01,0.34
Unaspiring,,O,,,unassert,0.28,-0.22,0.46,-0.11,0.19
Unassertive,,E,,,unassist,0.01,-0.23,0.29,0.26,0.08
Unassisting,,,,,unassumi,0.35,-0.2,0.29,-0.12,-0.12
Unassuming,,A,,,unassure,0.11,-0.34,0.42,-0.34,0.17
Unassured,,E,N,,unauthor,0.38,-0.26,0.32,-0.03,0.22
Unauthoritative,,A,E,,unbashfu,0.03,-0.12,-0.38,0.28,-0.07
Unbashful,,E,,,unbellig,0.43,0,0.09,-0.01,0.06
Unbelligerent,,A,,,unbendab,-0.12,0.07,0.05,0.21,-0.05
Unbendable,,,,,unbendin,-0.12,0.05,0.02,0.22,-0.01
Unbending,,,,,unbenevo,-0.13,-0.08,0.19,0.22,0.12
Unbenevolent,,,,,unbewail,0.28,-0.11,0.1,0.34,-0.16
Unbewailing,,N,,,unbiased,0.35,-0.1,0.05,0.21,-0.21
Unbiased,,A,,,unbigote,0.28,-0.09,0.06,0.16,-0.17
Unbigoted,,,,,unblushi,-0.05,-0.07,-0.01,0.38,-0.1
Unblushing,,N,,,unboastf,0.33,0,0.29,0.2,-0.03
Unboastful,,A,,,unbold,0.23,-0.08,0.33,-0.23,0.24
Unbold,,E,,,unbookis,0.11,-0.11,0.02,0.09,0.36
Unbookish,,O,,,unbridle,0.01,-0.23,-0.07,0.21,-0.1
Unbridled,,,,,unbusine,0.31,-0.47,0.01,0,-0.02
Unbusinesslike,,C,,,uncalcul,0.52,-0.22,-0.03,-0.11,-0.03
Uncalculating,,A,,,uncandid,0.18,0.02,0.22,-0.07,0.23
Uncandid,,,,,uncarefu,0.09,-0.48,-0.08,0.03,0.02
Uncarbable,,,,,uncautio,0.07,-0.45,-0.12,0.15,-0.07
Uncareful,,C,,,unceremo,0.22,-0.33,0.2,0.2,-0.14
Uncautious,,C,,,unchange,0,0.15,0.11,0.24,0
Unceremonious,,C,,,unchangi,0,0.14,0.13,0.26,0.08
Unchangeable,,,,,uncharit,-0.23,-0.2,0.24,0.26,0
Unchanging,,,,,unchaste,-0.08,-0.21,0.06,0.11,-0.12
Uncharitable,,,,,uncheerf,0.04,0.04,0.62,-0.05,-0.1
Unchaste,,,,,uncheery,-0.03,-0.01,0.64,0.05,-0.08
Uncheerful,,E,,,unchival,0.16,-0.22,0.23,-0.07,0.01
Uncheery,,E,,,uncivil,-0.13,-0.3,0.14,0.11,-0.11
Unchivalrous,,,,,uncivili,0.11,-0.38,0.04,0.02,-0.19
Uncivil,,C,,,uncommun,0.02,-0.14,0.58,0.02,0.07
Uncivilized,,C,,,uncompan,0.06,-0.15,0.49,0.05,-0.1
Uncommunicative,,E,,,uncompas,-0.16,-0.18,0.33,0.35,0.17
Uncompanionable,,E,,,uncompet,0.41,-0.13,0.26,-0.14,-0.04
Uncompassionate,,N,E,,uncompla,0.4,0.02,0.11,0.41,0.07
Uncompetitive,,,,,uncompls,-0.01,-0.13,0.13,0.1,-0.26
Uncomplaining,,A,N,,uncompro,-0.08,-0.02,0.12,0.23,-0.21
Uncomplaisant,,,,,unconcea,0.15,-0.06,-0.09,0.07,-0.12
Uncompromising,,,,,unconcil,-0.18,-0.14,0.11,0.17,-0.01
Unconcealing,,,,,unconfdg,0.11,-0.09,0.36,0.27,-0.05
Unconciliatory,,,,,unconfid,0.13,-0.28,0.4,-0.34,0.17
Unconfident,,E,N,,unconfor,-0.02,-0.29,0.14,0.16,-0.35
Unconfiding,,E,,,unconsci,-0.11,-0.42,0.07,0.13,0.19
Unconformable,,O,,,unconstb,0.03,-0.26,-0.13,0.2,-0.19
Unconscientious,,C,,,unconstc,0.07,-0.33,0.12,-0.02,0.23
Unconstrainable,,,,,unconstr,0.06,-0.22,-0.16,0.17,-0.26
Unconstrained,,,,,uncontra,0.12,0.1,0.04,0.25,0.07
Unconstructive,,N,,,uncontri,0.34,-0.11,0.13,0.04,-0.08
Uncontradictable,,,,,uncontro,-0.16,-0.34,-0.11,-0.01,-0.14
Uncontriving,,A,,,unconven,0.05,-0.35,-0.02,0.13,-0.4
Uncontrolled,,C,,,uncooper,-0.29,-0.18,0.1,0.11,-0.1
Unconventional,,O,,,uncordia,-0.17,-0.23,0.3,0.23,-0.15
Uncooperative,,,,,uncourte,-0.18,-0.36,0.13,0.24,-0.11
Uncordial,,E,,,uncourtl,0.21,-0.28,0.13,0.08,-0.05
Uncourteous,,C,,,uncouth,-0.1,-0.29,0.03,0.11,-0.12
Uncourtly,,,,,uncrafty,0.42,-0.17,0.11,-0.14,-0.04
Uncouth,,,,,uncreati,0.1,-0.1,0.17,-0.03,0.21
Uncrafty,,A,,,uncritic,0.49,0,-0.03,0.08,0.12
Uncreative,,,,,uncultiv,0.08,-0.39,0.21,0.08,-0.03
Uncritical,,A,,,uncultur,0.1,-0.33,0.17,0.03,0.02
Uncultivated,,C,,,uncunnin,0.46,-0.19,0.14,-0.1,-0.03
Uncultured,,C,,,uncurbab,0,-0.2,-0.08,0.17,-0.18
Uncunning,,A,,,uncuriou,0.16,0.07,0.2,0.03,0.28
Uncurious,,,,,undeceiv,0.06,0.08,0.03,0.27,-0.02
Undeceivable,,,,,undecept,0.44,0.03,0.02,0.03,-0.12
Undeceptive,,A,,,undefeat,0.12,0.12,-0.02,0.34,-0.09
Undefeatable,,N,,,undelayi,0.15,0.26,-0.03,0.22,-0.05
Undelaying,,,,,undelibe,0.28,-0.3,-0.07,-0.03,0.08
